Gemeenten,Provincie,Grootteklasse,
Halderberge,Noord-Brabant,20.000 tot 50.000 inwoners,
Harderwijk,Gelderland,20.000 tot 50.000 inwoners,
Heemskerk,Noord-Holland,20.000 tot 50.000 inwoners,
Heemstede,Noord-Holland,20.000 tot 50.000 inwoners,
Heiloo,Noord-Holland,20.000 tot 50.000 inwoners,
Hellendoorn,Overijssel,20.000 tot 50.000 inwoners,
Hendrik-Ido-Ambacht,Zuid-Holland,20.000 tot 50.000 inwoners,
Heusden,Noord-Brabant,20.000 tot 50.000 inwoners,
Hillegom,Zuid-Holland,20.000 tot 50.000 inwoners,
Hof van Twente,Overijssel,20.000 tot 50.000 inwoners,
Het Hogeland,Groningen,20.000 tot 50.000 inwoners,
Hollands Kroon,Noord-Holland,20.000 tot 50.000 inwoners,
Horst aan de Maas,Limburg,20.000 tot 50.000 inwoners,
Huizen,Noord-Holland,20.000 tot 50.000 inwoners,
Hulst,Zeeland,20.000 tot 50.000 inwoners,
IJsselstein,Utrecht,20.000 tot 50.000 inwoners,
Kaag en Braassem,Zuid-Holland,20.000 tot 50.000 inwoners,
Kerkrade,Limburg,20.000 tot 50.000 inwoners,
Koggenland,Noord-Holland,20.000 tot 50.000 inwoners,
Krimpen aan den IJssel,Zuid-Holland,20.000 tot 50.000 inwoners,
Laarbeek,Noord-Brabant,20.000 tot 50.000 inwoners,
Landgraaf,Limburg,20.000 tot 50.000 inwoners,
Leiderdorp,Zuid-Holland,20.000 tot 50.000 inwoners,
Leudal,Limburg,20.000 tot 50.000 inwoners,
Leusden,Utrecht,20.000 tot 50.000 inwoners,
Lingewaard,Gelderland,20.000 tot 50.000 inwoners,
Lisse,Zuid-Holland,20.000 tot 50.000 inwoners,
Lochem,Gelderland,20.000 tot 50.000 inwoners,
Loon op Zand,Noord-Brabant,20.000 tot 50.000 inwoners,
Losser,Overijssel,20.000 tot 50.000 inwoners,
Maasdriel,Gelderland,20.000 tot 50.000 inwoners,
Maasgouw,Limburg,20.000 tot 50.000 inwoners,
Maassluis,Zuid-Holland,20.000 tot 50.000 inwoners,
Medemblik,Noord-Holland,20.000 tot 50.000 inwoners,
Meppel,Drenthe,20.000 tot 50.000 inwoners,
Middelburg (Z.),Zeeland,20.000 tot 50.000 inwoners,
Midden-Drenthe,Drenthe,20.000 tot 50.000 inwoners,
Moerdijk,Noord-Brabant,20.000 tot 50.000 inwoners,
Molenlanden,Zuid-Holland,20.000 tot 50.000 inwoners,
Montferland,Gelderland,20.000 tot 50.000 inwoners,
Neder-Betuwe,Gelderland,20.000 tot 50.000 inwoners,
Nieuwkoop,Zuid-Holland,20.000 tot 50.000 inwoners,
Nijkerk,Gelderland,20.000 tot 50.000 inwoners,
Noardeast-Friesland,Friesland,20.000 tot 50.000 inwoners,
Noordenveld,Drenthe,20.000 tot 50.000 inwoners,
Noordoostpolder,Flevoland,20.000 tot 50.000 inwoners,
Noordwijk,Zuid-Holland,20.000 tot 50.000 inwoners,
"Nuenen, Gerwen en Nederwetten",Noord-Brabant,20.000 tot 50.000 inwoners
Nunspeet,Gelderland,20.000 tot 50.000 inwoners,
Oegstgeest,Zuid-Holland,20.000 tot 50.000 inwoners,
Oisterwijk,Noord-Brabant,20.000 tot 50.000 inwoners,
Oldambt,Groningen,20.000 tot 50.000 inwoners,
Oldebroek,Gelderland,20.000 tot 50.000 inwoners,
Oldenzaal,Overijssel,20.000 tot 50.000 inwoners,
Oost Gelre,Gelderland,20.000 tot 50.000 inwoners,
Ooststellingwerf,Friesland,20.000 tot 50.000 inwoners,
Opsterland,Friesland,20.000 tot 50.000 inwoners,
Oude IJsselstreek,Gelderland,20.000 tot 50.000 inwoners,
Overbetuwe,Gelderland,20.000 tot 50.000 inwoners,
Papendrecht,Zuid-Holland,20.000 tot 50.000 inwoners,
Peel en Maas,Limburg,20.000 tot 50.000 inwoners,
Putten,Gelderland,20.000 tot 50.000 inwoners,
Raalte,Overijssel,20.000 tot 50.000 inwoners,
Reimerswaal,Zeeland,20.000 tot 50.000 inwoners,
Renkum,Gelderland,20.000 tot 50.000 inwoners,
Rheden,Gelderland,20.000 tot 50.000 inwoners,
Rhenen,Utrecht,20.000 tot 50.000 inwoners,
